property,title,value,format
standardversion,Версия,методических,
7710168360-Subordinate,"Организации,",находящиеся,CSV
7710168360-DomesticDebt,Государственный,внутренний,CSV
7710168360-NationalWealthFund,Информация,об,CSV
7710168360-CheckSROA,План,проведения,CSV
7710168360-ReportSROA,Информация,о,CSV
7710168360-AuditorsActivity,Информация,об,CSV
7710168360-ActivitySROA,Информация,о,CSV
7710168360-Jobs,Сведения,о,CSV
7710168360-ExternalDebt,Государственный,внешний,CSV
7710168360-SubordinateBiography,Биографические,справки,XML
7710168360-ConsolidatedSROA,Сводные,данные,CSV
7710168360-Subject_Debt,Объем,государственного,CSV
7710168360-Control_FKU,План,по,CSV
7710168360-Buy_FKU,План,ведомственного,CSV
7710168360-Diamonds_price,Прейскурант,цен,CSV
7710168360-plan_regulatory,Перечень,нормативных,CSV
7710168360-affinage_org,Перечень,"организаций,",CSV
7710168360-alexandrite_nature_raw,Прейскурант,цен,CSV
7710168360-alexandrite_nature_worked,Прейскурант,цен,CSV
7710168360-emerald_cabochon,Прейскурант,цен,CSV
7710168360-emerald_nature_raw,Прейскурант,цен,CSV
7710168360-emerald_nature_worked,Прейскурант,цен,CSV
7710168360-docs_strategic_planning,Документы,государственного,CSV
7710168360-members_public_council,Состав,Общественного,CSV
7710168360-international_treaty,Список,международных,CSV
7710168360-SROA_npa,Перечень,правовых,CSV
7710168360-accounts_balance,Балансовые,счета,CSV
7710168360-accounts_offbalance,Забалансовые,счета,CSV
7710168360-accounts_budget,План,счетов,CSV
7710168360-ismf,Сведения,о,CSV
7710168360-mass_media,Информация,об,CSV
7710168360-requested_od,Сведения,о,CSV
7710168360-infomap,Информационные,карты,CSV
7710168360-archive,Электронные,описи,CSV
7710168360-fedbud_year,Краткая,информация,CSV
7710168360-fedbud_quarter,Краткая,информация,CSV
7710168360-fedbud_month,Краткая,информация,CSV
7710168360-subbud_year,Краткая,информация,CSV
7710168360-subbud_quarter,Краткая,информация,CSV
7710168360-subbud_month,Краткая,информация,CSV
7710168360-conbud_year,Краткая,информация,CSV
7710168360-conbud_quarter,Краткая,информация,CSV
7710168360-conbud_month,Краткая,информация,CSV
7710168360-outbud_year,Краткая,информация,CSV
7710168360-outbud_quarter,Краткая,информация,CSV
7710168360-outbud_month,Краткая,информация,CSV
7710168360-repo,Оперативные,сведения,CSV
7710168360-plan_os,План,работы,CSV
7710168360-subj_bc,Результаты,мониторинга,CSV
7710168360-profit_divide,Распределение,доходов,CSV
7710168360-gp_regfin,Фактически,достигнутые,CSV
7710168360-declaration,Публичная,декларация,XML
7710168360-nsc_execution,Сведения,о,CSV
7710168360-subj_finance,Результаты,мониторинга,CSV
7710168360-insurance_tariff,Тарифы,страховых,CSV
7710168360-insurance_amount,Размер,страховых,CSV
7710168360-auction_results,Результаты,проведенных,CSV
7710168360-volume_issues,Объемы,размещенных,CSV
7710168360-OFZ-n_redeemed,Номинальная,стоимость,CSV
7710168360-OFZ-n_placement,Параметры,размещаемого,CSV
7710168360-IFRS,Перечень,международных,CSV
7710168360-accounting_standards,Перечень,федеральных,CSV
7710168360-compensation_vehicle,Предельные,нормы,CSV
7710168360-accounts_bookkeeper,План,счетов,CSV
7710168360-papers_summary,Итоги,операций,CSV
7710168360-warranty_support,Перечень,иностранных,CSV
7710168360-refineries_production,Сводные,данные,CSV
7710168360-domestic_payments,Платежи,по,CSV
7710168360-external_schedule,График,погашения,CSV
7710168360-entity_debtor,Информация,о,CSV
7710168360-subordinate_monitoring,Результаты,мониторинга,CSV
7710168360-distribution_subsidies,Распределение,дотаций,CSV
7710168360-audit_contract,Информация,о,CSV
7710168360-income_lost,Объемы,выпадающих,CSV
7710168360-mkfm,Результаты,мониторинга,CSV
