property,title,value,format
standardversion,Версия методических рекомендаций,http://opendata.gosmonitor.ru/standard/3.0,
7710168360-Subordinate,"Организации, находящиеся в ведении Минфина России",https://minfin.gov.ru/opendata/7710168360-Subordinate/meta.csv,CSV
7710168360-DomesticDebt,Государственный внутренний долг Российской Федерации,https://minfin.gov.ru/opendata/7710168360-DomesticDebt/meta.csv,CSV
7710168360-NationalWealthFund,Информация об объеме Фонда национального благосостояния,https://minfin.gov.ru/opendata/7710168360-NationalWealthFund/meta.csv,CSV
7710168360-CheckSROA,План проведения плановых проверок саморегулируемой организации аудиторов,https://minfin.gov.ru/opendata/7710168360-CheckSROA/meta.csv,CSV
7710168360-ReportSROA,"Информация о результатах проверок саморегулируемой организации аудиторов, проведенных Министерством финансов Российской Федерации",https://minfin.gov.ru/opendata/7710168360-ReportSROA/meta.csv,CSV
7710168360-AuditorsActivity,Информация об аудиторской деятельности,https://minfin.gov.ru/opendata/7710168360-AuditorsActivity/meta.csv,CSV
7710168360-ActivitySROA,Информация о деятельности саморегулируемой организации аудиторов,https://minfin.gov.ru/opendata/7710168360-ActivitySROA/meta.csv,CSV
7710168360-Jobs,Сведения о вакантных должностях государственной гражданской службы,https://minfin.gov.ru/opendata/7710168360-Jobs/meta.csv,CSV
7710168360-ExternalDebt,Государственный внешний долг Российской Федерации,https://minfin.gov.ru/opendata/7710168360-ExternalDebt/meta.csv,CSV
7710168360-SubordinateBiography,"Биографические справки о руководителях организаций, находящихся в ведении Минфина России",https://minfin.gov.ru/opendata/7710168360-SubordinateBiography/meta.csv,XML
7710168360-ConsolidatedSROA,"Сводные данные о результатах проверок саморегулируемой организации аудиторов, проведенных Министерством финансов Российской Федерации",https://minfin.gov.ru/opendata/7710168360-ConsolidatedSROA/meta.csv,CSV
7710168360-Subject_Debt,Объем государственного долга субъектов Российской Федерации и муниципального долга,https://minfin.gov.ru/opendata/7710168360-Subject_Debt/meta.csv,CSV
7710168360-Control_FKU,План по контролю за деятельностью подведомственных Министерству финансов Российской Федерации федеральных казенных учреждений и федеральных государственных бюджетных учреждений,https://minfin.gov.ru/opendata/7710168360-Control_FKU/meta.csv,CSV
7710168360-Buy_FKU,План ведомственного контроля в сфере закупок для обеспечения федеральных нужд,https://minfin.gov.ru/opendata/7710168360-Buy_FKU/meta.csv,CSV
7710168360-Diamonds_price,Прейскурант цен на алмазы природные необработанные,https://minfin.gov.ru/opendata/7710168360-Diamonds_price/meta.csv,CSV
7710168360-plan_regulatory,"Перечень нормативных правовых актов, принятых Министерством финансов Российской Федерации",https://minfin.gov.ru/opendata/7710168360-plan_regulatory/meta.csv,CSV
